bloque,ramo,mes,real,leg,mod
IRR,40,202601,4532408.53037583,3946645.480952275,4145573.817058376
IRR,40,202602,6206167.425921842,5406018.677531024,5625331.855293241
IRR,40,202603,6322427.449623993,5657392.680640992,5872212.749830916
IRR,40,202604,6792528.764425718,6291788.542323923,6504737.936676953
IRR,40,202605,6267912.106043218,6072125.414009844,6288411.686544987
IRR,40,202606,6332725.133439247,6229845.138288018,6314275.599308689
IRR,40,202607,6361636.572424903,6680035.51574428,6800394.83103698
IRR,40,202608,,0.0,6343302.81232476
IRR,40,202609,,0.0,0.0
IRR,40,202610,,0.0,0.0
IRR,40,202611,,0.0,0.0
IRR,40,202612,,0.0,0.0
IRR,50,202601,7611932.105441415,10776308.99010368,10720481.55191023
IRR,50,202602,7904607.718868603,10406041.8883291,10364271.65067291
IRR,50,202603,7854821.276192176,10540652.96376005,10506365.93786321
IRR,50,202604,7871050.442503205,10681506.57214167,10646349.92505647
